File Name,Start Time,End Time
slow_samples/Law-of-cosines---triples/law-of-cosines---triples-2.py,11:12:31.131,11:12:36.352
slow_samples/Law-of-cosines---triples/law-of-cosines---triples-1.py,11:12:40.355,11:12:45.813
slow_samples/Abundant-deficient-and-perfect-number-classifications/abundant-deficient-and-perfect-number-classifications-3.py,11:12:49.818,11:12:49.851
slow_samples/Abundant-deficient-and-perfect-number-classifications/abundant-deficient-and-perfect-number-classifications-2.py,11:12:53.854,11:12:54.035
slow_samples/Abundant-deficient-and-perfect-number-classifications/abundant-deficient-and-perfect-number-classifications-6.py,11:12:58.041,11:13:02.931
slow_samples/Abundant-deficient-and-perfect-number-classifications/abundant-deficient-and-perfect-number-classifications-1.py,11:13:06.936,11:13:06.970
slow_samples/Abundant-deficient-and-perfect-number-classifications/abundant-deficient-and-perfect-number-classifications-5.py,11:13:10.975,11:13:16.152
slow_samples/Abundant-deficient-and-perfect-number-classifications/abundant-deficient-and-perfect-number-classifications-4.py,11:13:20.154,11:13:20.188
slow_samples/Greedy-algorithm-for-Egyptian-fractions/greedy-algorithm-for-egyptian-fractions-2.py,11:13:24.192,11:13:29.535
slow_samples/Greedy-algorithm-for-Egyptian-fractions/greedy-algorithm-for-egyptian-fractions-1.py,11:13:33.539,11:13:33.605
slow_samples/Numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors/numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors-1.py,11:13:37.610,11:13:39.098
slow_samples/Numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors/numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors-2.py,11:13:43.100,11:13:44.469
slow_samples/Super-d-numbers/super-d-numbers-2.py,11:13:48.471,11:13:48.623
slow_samples/Super-d-numbers/super-d-numbers-1.py,11:13:52.625,11:13:57.504
slow_samples/Color-of-a-screen-pixel/color-of-a-screen-pixel-5.py,11:14:01.510,11:14:01.530
slow_samples/Color-of-a-screen-pixel/color-of-a-screen-pixel-1.py,11:14:05.535,11:14:05.555
slow_samples/Color-of-a-screen-pixel/color-of-a-screen-pixel-4.py,11:14:09.558,11:14:09.578
slow_samples/Color-of-a-screen-pixel/color-of-a-screen-pixel-3.py,11:14:13.580,11:14:13.619
slow_samples/Color-of-a-screen-pixel/color-of-a-screen-pixel-2.py,11:14:17.623,11:14:18.404
slow_samples/Perfect-numbers/perfect-numbers-4.py,11:14:22.410,11:14:22.451
slow_samples/Perfect-numbers/perfect-numbers-1.py,11:14:26.452,11:14:26.472
slow_samples/Perfect-numbers/perfect-numbers-2.py,11:14:30.478,11:14:30.499
slow_samples/Perfect-numbers/perfect-numbers-3.py,11:14:34.504,11:14:35.727
slow_samples/Fibonacci-sequence/fibonacci-sequence-15.py,11:14:39.732,11:14:39.763
slow_samples/Fibonacci-sequence/fibonacci-sequence-11.py,11:14:43.769,11:14:43.802
slow_samples/Fibonacci-sequence/fibonacci-sequence-10.py,11:14:47.803,11:14:50.427
slow_samples/Fibonacci-sequence/fibonacci-sequence-14.py,11:14:54.428,11:14:54.447
slow_samples/Fibonacci-sequence/fibonacci-sequence-1.py,11:14:58.453,11:14:58.473
slow_samples/Fibonacci-sequence/fibonacci-sequence-5.py,11:15:02.474,11:15:02.494
slow_samples/Fibonacci-sequence/fibonacci-sequence-4.py,11:15:06.499,11:15:06.519
slow_samples/Fibonacci-sequence/fibonacci-sequence-7.py,11:15:10.524,11:15:10.543
slow_samples/Fibonacci-sequence/fibonacci-sequence-3.py,11:15:14.544,11:15:14.564
slow_samples/Fibonacci-sequence/fibonacci-sequence-2.py,11:15:18.569,11:15:18.589
slow_samples/Fibonacci-sequence/fibonacci-sequence-6.py,11:15:22.591,11:15:22.610
slow_samples/Fibonacci-sequence/fibonacci-sequence-18.py,11:15:26.611,11:15:26.631
slow_samples/Fibonacci-sequence/fibonacci-sequence-13.py,11:15:30.633,11:15:30.652
slow_samples/Fibonacci-sequence/fibonacci-sequence-17.py,11:15:34.657,11:15:34.678
slow_samples/Fibonacci-sequence/fibonacci-sequence-9.py,11:15:38.679,11:15:38.699
slow_samples/Fibonacci-sequence/fibonacci-sequence-16.py,11:15:42.704,11:15:42.723
slow_samples/Fibonacci-sequence/fibonacci-sequence-8.py,11:15:46.726,11:15:46.758
slow_samples/Fibonacci-sequence/fibonacci-sequence-12.py,11:15:50.760,11:15:50.791
slow_samples/Total-circles-area/total-circles-area-3.py,11:15:54.794,11:15:57.476
slow_samples/Total-circles-area/total-circles-area-2.py,11:16:01.481,11:16:01.502
slow_samples/Total-circles-area/total-circles-area-1.py,11:16:05.502,11:16:05.522
slow_samples/Total-circles-area/total-circles-area-4.py,11:16:09.523,11:16:09.543
slow_samples/Fusc-sequence/fusc-sequence-2.py,11:16:13.544,11:16:14.721
slow_samples/Fusc-sequence/fusc-sequence-1.py,11:16:18.724,11:16:19.962
slow_samples/Last-letter-first-letter/last-letter-first-letter-2.py,11:16:23.965,11:16:23.999
slow_samples/Last-letter-first-letter/last-letter-first-letter-1.py,11:16:28.003,11:16:31.144
slow_samples/15-puzzle-solver/15-puzzle-solver-3.py,11:16:35.148,11:16:35.183
slow_samples/15-puzzle-solver/15-puzzle-solver-2.py,11:16:39.186,11:16:39.219
slow_samples/15-puzzle-solver/15-puzzle-solver-1.py,11:16:43.224,11:16:48.651
